Practice ID,Level,CMMC Domain,Practice Name,NIST 800-171 Ref,Azure Service(s),Implementation Status,Assessment Method,Evidence Artifact / Location,Assessor Notes,Finding,POA&M ID
AT.L2-3.2.3,Level 2,Awareness and Training,Insider Threat Awareness,3.2.3,"Microsoft Sentinel (UEBA), Defender for Cloud",,,,,,
AU.L2-3.3.1,Level 2,Audit and Accountability,Create and Retain Audit Logs,3.3.1,"Azure Monitor, Log Analytics, Azure Storage (archive)",,,,,,
AU.L2-3.3.2,Level 2,Audit and Accountability,User Accountability,3.3.2,"Azure Monitor, Entra ID Sign-in Logs",,,,,,
AU.L2-3.3.3,Level 2,Audit and Accountability,Event Review,3.3.3,"Log Analytics, Microsoft Sentinel",,,,,,
AU.L2-3.3.4,Level 2,Audit and Accountability,Alert on Audit Failures,3.3.4,"Azure Monitor Alerts, Action Groups",,,,,,
AU.L2-3.3.5,Level 2,Audit and Accountability,Audit Correlation,3.3.5,"Microsoft Sentinel, Log Analytics",,,,,,
AU.L2-3.3.6,Level 2,Audit and Accountability,Audit Reduction,3.3.6,"Log Analytics (KQL), Azure Workbooks",,,,,,
AU.L2-3.3.7,Level 2,Audit and Accountability,Authoritative Time Source,3.3.7,Azure NTP (automatic),,,,,,
AU.L2-3.3.8,Level 2,Audit and Accountability,Audit Protection,3.3.8,"Log Analytics, Azure Storage (WORM), Resource Locks",,,,,,
AU.L2-3.3.9,Level 2,Audit and Accountability,Audit Management,3.3.9,"Azure RBAC (Log Analytics Contributor), PIM",,,,,,
CA.L2-3.12.1,Level 2,Security Assessment,Security Assessment,3.12.1,"Defender for Cloud, Azure Policy",,,,,,
CA.L2-3.12.2,Level 2,Security Assessment,Plan of Action,3.12.2,"Defender for Cloud (recommendations), Azure DevOps",,,,,,
CA.L2-3.12.3,Level 2,Security Assessment,Security Control Monitoring,3.12.3,"Defender for Cloud, Azure Monitor, Sentinel",,,,,,
CA.L2-3.12.4,Level 2,Security Assessment,System Security Plan,Monitor and Maintain Azure Resources,and periodically update system security plans,,,,,,
CM.L2-3.4.1,Level 2,Configuration Management,System Baseline,3.4.1,"Azure Policy, ARM Templates/Bicep, Azure Compute Gallery",,,,,,
CM.L2-3.4.2,Level 2,Configuration Management,Baseline Change Control,3.4.2,"Azure Policy, Management Groups, Defender for Cloud",,,,,,
CM.L2-3.4.3,Level 2,Configuration Management,Security Configuration Analysis,3.4.3,"Defender for Cloud, Azure Policy",,,,,,
CM.L2-3.4.4,Level 2,Configuration Management,Unauthorized Change Detection,3.4.4,"Azure Change Tracking, Azure Monitor",,,,,,
CM.L2-3.4.5,Level 2,Configuration Management,Access Restrictions for Change,Manage Azure Identities and Governance,and enforce physical and logical access restrictions associated with changes,,,,,,
CM.L2-3.4.6,Level 2,Configuration Management,Least Functionality,3.4.6,"Azure Policy, VM configuration, App Service",,,,,,
CM.L2-3.4.7,Level 2,Configuration Management,Nonessential Feature Removal,3.4.7,"VM customization, App Service (disable FTP)",,,,,,
CM.L2-3.4.8,Level 2,Configuration Management,Application Execution Policy,3.4.8,Defender for Cloud (Adaptive Application Controls),,,,,,
CM.L2-3.4.9,Level 2,Configuration Management,User-Installed Software Control,3.4.9,"Intune, Azure Policy",,,,,,
IA.L1-3.5.1,Level 1,Identification and Authentication,Identification,3.5.1,"Microsoft Entra ID, Managed Identities",,,,,,
IA.L1-3.5.2,Level 1,Identification and Authentication,Authentication,3.5.2,"Microsoft Entra MFA, Conditional Access, Azure Key Vault",,,,,,
IA.L2-3.5.10,Level 2,Identification and Authentication,Cryptographically Protected Passwords,3.5.10,"Entra ID (hashed passwords), Azure Key Vault",,,,,,
IA.L2-3.5.11,Level 2,Identification and Authentication,Obscure Feedback,3.5.11,Entra ID (default behavior),,,,,,
IA.L2-3.5.3,Level 2,Identification and Authentication,Multifactor Authentication,3.5.3,"Entra MFA, Conditional Access",,,,,,
IA.L2-3.5.4,Level 2,Identification and Authentication,Replay-Resistant Authentication,3.5.4,"Entra ID (FIDO2, certificate-based auth)",,,,,,
IA.L2-3.5.5,Level 2,Identification and Authentication,Identifier Reuse,3.5.5,Entra ID (account lifecycle),,,,,,
IA.L2-3.5.6,Level 2,Identification and Authentication,Identifier Handling,3.5.6,"Entra ID, Azure Policy",,,,,,
IA.L2-3.5.7,Level 2,Identification and Authentication,Password Complexity,3.5.7,Entra ID Password Protection,,,,,,
IA.L2-3.5.8,Level 2,Identification and Authentication,Password Reuse,3.5.8,Entra ID Password Protection,,,,,,
IA.L2-3.5.9,Level 2,Identification and Authentication,Temporary Passwords,3.5.9,"Entra ID (SSPR, Temporary Access Pass)",,,,,,
IR.L2-3.6.1,Level 2,Incident Response,Incident Handling,3.6.1,"Microsoft Sentinel, Defender for Cloud, Logic Apps",,,,,,
IR.L2-3.6.2,Level 2,Incident Response,Incident Reporting,3.6.2,"Azure Monitor, Sentinel (Incidents), Logic Apps",,,,,,
IR.L2-3.6.3,Level 2,Incident Response,Incident Response Testing,3.6.3,"Microsoft Sentinel (Playbooks), Logic Apps",,,,,,
MA.L2-3.7.1,Level 2,Maintenance,Perform Maintenance,3.7.1,"Azure Update Manager, Azure Automation",,,,,,
MA.L2-3.7.2,Level 2,Maintenance,Controlled Maintenance,3.7.2,"Azure RBAC, PIM, Azure Bastion",,,,,,
MA.L2-3.7.3,Level 2,Maintenance,Equipment Sanitization,3.7.3,"Azure Disk Encryption, Azure Key Vault",,,,,,
MA.L2-3.7.4,Level 2,Maintenance,Media Inspection,3.7.4,"Defender for Storage (malware scan), Antimalware",,,,,,
MA.L2-3.7.5,Level 2,Maintenance,Remote Maintenance,3.7.5,"Conditional Access (MFA), Azure Bastion",,,,,,
MA.L2-3.7.6,Level 2,Maintenance,Maintenance Personnel,3.7.6,"Azure RBAC, PIM, Azure Monitor",,,,,,
MP.L1-3.8.3,Level 1,Media Protection,Media Disposal,3.8.3,"Azure Disk Encryption, Azure Storage SSE, Microsoft Purview",,,,,,
MP.L2-3.8.1,Level 2,Media Protection,Media Protection,3.8.1,"Azure Disk Encryption, Azure Storage SSE, Azure Backup",,,,,,
MP.L2-3.8.2,Level 2,Media Protection,Media Access,3.8.2,"Azure RBAC (Storage roles), SAS tokens, Entra ID",,,,,,
MP.L2-3.8.4,Level 2,Media Protection,Media Marking,3.8.4,"Microsoft Purview (sensitivity labels), Azure Storage (metadata)",,,,,,
MP.L2-3.8.5,Level 2,Media Protection,Media Accountability,3.8.5,"Azure Monitor, Azure Storage (activity logs)",,,,,,
MP.L2-3.8.6,Level 2,Media Protection,Portable Storage Encryption,3.8.6,"Azure Information Protection, Intune (BitLocker enforcement)",,,,,,
MP.L2-3.8.7,Level 2,Media Protection,Removable Media Restrictions,3.8.7,Intune (USB restrictions),,,,,,
MP.L2-3.8.8,Level 2,Media Protection,Shared Media Use,3.8.8,"Intune, Azure Policy",,,,,,
MP.L2-3.8.9,Level 2,Media Protection,Backup CUI Protection,3.8.9,"Azure Backup, Backup Vault (CMK), Immutable Vault",,,,,,
PE.L1-3.10.1,Level 1,Physical Protection,Limit Physical Access,3.10.1,"Azure Bastion, Microsoft Entra ID, Microsoft Intune",,,,,,
PE.L1-3.10.3,Level 1,Physical Protection,Escort Visitors,3.10.3,"Azure Monitor, Microsoft Entra Audit Logs, Microsoft Sentinel",,,,,,
PE.L1-3.10.4,Level 1,Physical Protection,Physical Access Logs,3.10.4,"Azure Monitor, Log Analytics, Entra ID Sign-in Logs",,,,,,
PE.L1-3.10.5,Level 1,Physical Protection,Manage Physical Access Devices,3.10.5,"Microsoft Entra ID, Microsoft Intune",,,,,,
PE.L2-3.10.2,Level 2,Physical Protection,Monitor Facility,3.10.2,"Azure Service Health, Azure Monitor",,,,,,
PE.L2-3.10.6,Level 2,Physical Protection,Alternate Work Site,3.10.6,"Conditional Access, Intune",,,,,,
PS.L2-3.9.1,Level 2,Personnel Security,Screen Individuals,3.9.1,Entra ID (account provisioning),,,,,,
PS.L2-3.9.2,Level 2,Personnel Security,Terminate and Transfer Actions,3.9.2,"Entra ID (account lifecycle), Azure RBAC",,,,,,
RA.L2-3.11.1,Level 2,Risk Assessment,Risk Assessments,3.11.1,"Defender for Cloud (Secure Score), Azure Policy",,,,,,
RA.L2-3.11.2,Level 2,Risk Assessment,Vulnerability Scan,3.11.2,"Defender for Servers, Defender for Containers, MDVM",,,,,,
RA.L2-3.11.3,Level 2,Risk Assessment,Vulnerability Remediation,3.11.3,"Azure Update Manager, Defender for Cloud",,,,,,
SC.L1-3.13.1,Level 1,System and Communications Protection,Boundary Protection,3.13.1,"Azure Firewall, NSG, Azure DDoS Protection, Application Gateway WAF",,,,,,
SC.L1-3.13.5,Level 1,System and Communications Protection,Public-Access System Separation,3.13.5,"Azure VNet (DMZ), Application Gateway, Private Endpoints",,,,,,
SC.L2-3.13.10,Level 2,System and Communications Protection,Key Management,3.13.10,"Azure Key Vault, Azure Key Vault Managed HSM",,,,,,
SC.L2-3.13.11,Level 2,System and Communications Protection,FIPS-Validated Cryptography,3.13.11,"Azure Key Vault (HSM), Azure services (FIPS 140-2)",,,,,,
SC.L2-3.13.12,Level 2,System and Communications Protection,Collaborative Computing,3.13.12,"Azure Policy, Intune",,,,,,
SC.L2-3.13.13,Level 2,System and Communications Protection,Mobile Code,3.13.13,"Defender for Cloud, App Service (security settings)",,,,,,
SC.L2-3.13.14,Level 2,System and Communications Protection,Voice over Internet Protocol,3.13.14,"NSG, Azure Firewall, Azure Policy",,,,,,
SC.L2-3.13.15,Level 2,System and Communications Protection,Communications Authenticity,3.13.15,"Azure VPN Gateway, ExpressRoute",,,,,,
SC.L2-3.13.16,Level 2,System and Communications Protection,Data at Rest Protection,3.13.16,"Azure Disk Encryption, SSE + CMK, SQL TDE",,,,,,
SC.L2-3.13.2,Level 2,System and Communications Protection,Security Engineering Principles,Deploy and Manage Azure Compute / Virtual Networking,and modification of organizational systems,,,,,,
SC.L2-3.13.3,Level 2,System and Communications Protection,Role Separation,3.13.3,"Azure RBAC, PIM",,,,,,
SC.L2-3.13.4,Level 2,System and Communications Protection,Shared Resource Control,3.13.4,"Azure Dedicated Hosts, VM isolation",,,,,,
SC.L2-3.13.6,Level 2,System and Communications Protection,Network Communication by Exception,3.13.6,"NSG (deny all default), Azure Firewall",,,,,,
SC.L2-3.13.7,Level 2,System and Communications Protection,Split Tunneling,3.13.7,VPN Gateway (forced tunneling),,,,,,
SC.L2-3.13.8,Level 2,System and Communications Protection,Data in Transit Encryption,3.13.8,"TLS 1.2+, VPN Gateway, ExpressRoute",,,,,,
SC.L2-3.13.9,Level 2,System and Communications Protection,Network Disconnect,3.13.9,"Conditional Access, VPN Gateway (timeout settings)",,,,,,
SI.L1-3.14.1,Level 1,System and Information Integrity,Flaw Remediation,3.14.1,"Defender for Cloud, Azure Update Manager, Azure Monitor",,,,,,
SI.L1-3.14.2,Level 1,System and Information Integrity,Malicious Code Protection,3.14.2,"Defender for Servers, Microsoft Antimalware, Defender for Storage",,,,,,
SI.L1-3.14.4,Level 1,System and Information Integrity,Update Malicious Code Protection,3.14.4,"Microsoft Antimalware (auto-update), Defender for Endpoint, Azure Policy",,,,,,
SI.L1-3.14.5,Level 1,System and Information Integrity,System and File Scanning,3.14.5,"Microsoft Antimalware, Defender for Endpoint, Defender for Storage",,,,,,
SI.L2-3.14.3,Level 2,System and Information Integrity,Security Alerts,3.14.3,"Defender for Cloud, Azure Monitor, Service Health",,,,,,
SI.L2-3.14.6,Level 2,System and Information Integrity,Monitor System Security,3.14.6,"Microsoft Sentinel, Defender for Cloud, NSG Flow Logs",,,,,,
SI.L2-3.14.7,Level 2,System and Information Integrity,Identify Unauthorized Use,3.14.7,"Sentinel (UEBA), Entra ID Protection, Defender for Cloud",,,,,,
