Practice ID,Practice Name,CMMC Domain,Control Description,AZ-104 Exam Domain,AZ-104 Skill,Azure Service(s),NIST 800-171 Ref,Implementation Notes
AU.L2-3.3.1,Create and Retain Audit Logs,Audit and Accountability,"Create and retain system audit logs to enable monitoring, analysis, investigation, and reporting",Monitor and Maintain Azure Resources,"Configure Log Analytics workspaces; Configure diagnostic settings","Azure Monitor, Log Analytics, Azure Storage (archive)",3.3.1,Create Log Analytics workspace with 365-day retention; enable Activity Logs and Entra ID audit logs; archive to Storage for long-term retention
AU.L2-3.3.2,User Accountability,Audit and Accountability,"Ensure the actions of individual system users can be traced to those users",Monitor and Maintain Azure Resources,"Configure Azure Activity Logs; Configure Entra ID Sign-in Logs","Azure Monitor, Entra ID Sign-in Logs",3.3.2,Ensure unique user identities (no shared accounts); enable Activity Logs and Sign-in Logs; enable resource-level diagnostics for data-plane operations
AU.L2-3.3.3,Event Review,Audit and Accountability,Review and update logged events,Monitor and Maintain Azure Resources,"Configure Log Analytics; Create KQL queries","Log Analytics, Microsoft Sentinel",3.3.3,Create scheduled KQL queries for log review; use Sentinel Analytic Rules for automated event analysis; set alert rules for anomalous patterns
AU.L2-3.3.4,Alert on Audit Failures,Audit and Accountability,Alert in the event of an audit logging process failure,Monitor and Maintain Azure Resources,"Configure Azure Monitor alerts; Configure action groups","Azure Monitor Alerts, Action Groups",3.3.4,Create metric alerts on Log Analytics workspace data ingestion health; configure action groups to notify security team on alert
AU.L2-3.3.5,Audit Correlation,Audit and Accountability,"Correlate audit record review, analysis, and reporting processes",Monitor and Maintain Azure Resources,"Configure Microsoft Sentinel; Create KQL queries","Microsoft Sentinel, Log Analytics",3.3.5,Deploy Sentinel as SIEM; connect all data sources; create Analytic Rules for cross-source correlation; write KQL correlation queries
AU.L2-3.3.6,Audit Reduction,Audit and Accountability,Provide audit record reduction and report generation to support on-demand analysis,Monitor and Maintain Azure Resources,"Create and configure Log Analytics workspaces (KQL)","Log Analytics (KQL), Azure Workbooks",3.3.6,Use KQL queries to filter and reduce audit data; create Azure Monitor Workbooks for reporting dashboards
AU.L2-3.3.7,Authoritative Time Source,Audit and Accountability,Provide a system capability that compares and synchronizes internal clocks,Monitor and Maintain Azure Resources,"Monitor and manage Azure resources","Azure NTP (automatic)",3.3.7,Azure VMs automatically sync time with Azure's NTP infrastructure (time.windows.com); no additional configuration required
AU.L2-3.3.8,Audit Protection,Audit and Accountability,"Protect audit information and audit tools from unauthorized access, modification, and deletion",Monitor and Maintain Azure Resources,"Configure Azure Storage immutability; Configure RBAC on Log Analytics","Log Analytics, Azure Storage (WORM), Resource Locks",3.3.8,Restrict Log Analytics access via RBAC; archive logs to Storage Account with WORM immutability policy; apply CanNotDelete resource lock on Log Analytics workspace
AU.L2-3.3.9,Audit Management,Audit and Accountability,Limit management of audit logging to a subset of privileged users,Monitor and Maintain Azure Resources,"Configure RBAC on Log Analytics","Azure RBAC (Log Analytics Contributor), PIM",3.3.9,Restrict Log Analytics write/admin permissions to security team only; use PIM for audit admin role activation; prevent standard users from disabling logging
CA.L2-3.12.1,Security Assessment,Security Assessment,Periodically assess the security controls in organizational systems,Monitor and Maintain Azure Resources,"Monitor security posture with Defender for Cloud","Defender for Cloud, Azure Policy",3.12.1,Use Defender for Cloud Compliance dashboard to assess control effectiveness; align with MCSB baseline; conduct periodic manual assessments
CA.L2-3.12.2,Plan of Action,Security Assessment,Develop and implement plans of action to correct deficiencies and reduce risk,Monitor and Maintain Azure Resources,"Monitor and manage Defender for Cloud recommendations","Defender for Cloud (recommendations), Azure DevOps",3.12.2,Use Defender for Cloud recommendations as POA&M items; track remediation progress; export to ticketing system for accountability
CA.L2-3.12.3,Security Control Monitoring,Security Assessment,Monitor security controls on an ongoing basis,Monitor and Maintain Azure Resources,"Configure Azure Monitor; Configure Defender for Cloud","Defender for Cloud, Azure Monitor, Sentinel",3.12.3,Enable Defender for Cloud continuous assessment; configure monitoring policies; use Sentinel for ongoing security event monitoring
CA.L2-3.12.4,System Security Plan,Security Assessment,Develop, document, implement, and periodically update system security plans,Monitor and Maintain Azure Resources,"Monitor and manage Azure resources","Microsoft Purview Compliance Manager, Defender for Cloud",3.12.4,[Partial] Use Microsoft Purview Compliance Manager as SSP framework; document Azure configurations; update on resource changes
CM.L2-3.4.1,System Baseline,Configuration Management,"Establish and maintain baseline configurations and inventories of organizational systems",Deploy and Manage Azure Compute Resources,"Configure VMs; Automate deployment with ARM/Bicep","Azure Policy, ARM Templates/Bicep, Azure Compute Gallery",3.4.1,Store IaC templates in source control; use Shared Image Gallery for hardened OS images; use Azure Resource Graph for inventory
CM.L2-3.4.2,Baseline Change Control,Configuration Management,"Establish and enforce security configuration settings for information technology products",Manage Azure Identities and Governance,"Configure Azure Policy; Configure Management Groups","Azure Policy, Management Groups, Defender for Cloud",3.4.2,Apply Azure Security Benchmark initiative via Azure Policy; use Management Groups to apply policy at scale; enforce via deny effects
CM.L2-3.4.3,Security Configuration Analysis,Configuration Management,Address security concerns associated with installed components,Monitor and Maintain Azure Resources,"Monitor security posture with Defender for Cloud","Defender for Cloud, Azure Policy",3.4.3,Enable Defender for Cloud security recommendations; use Guest Configuration policy to audit in-guest OS settings
CM.L2-3.4.4,Unauthorized Change Detection,Configuration Management,Detect and document changes to baseline configurations,Monitor and Maintain Azure Resources,"Configure Change Tracking and Inventory; Configure Azure Monitor alerts","Azure Change Tracking, Azure Monitor",3.4.4,Enable Change Tracking extension on all VMs; send change data to Log Analytics; configure alerts for unauthorized changes
CM.L2-3.4.5,Access Restrictions for Change,Configuration Management,Define, document, approve, and enforce physical and logical access restrictions associated with changes,Manage Azure Identities and Governance,"Manage RBAC; Configure PIM","Azure RBAC, PIM, Azure Blueprints",3.4.5,Restrict Contributor/Owner roles via RBAC; require PIM activation for change activities; use Azure Blueprints for governed deployments
CM.L2-3.4.6,Least Functionality,Configuration Management,Configure the system to provide only essential capabilities,Deploy and Manage Azure Compute Resources,"Configure Azure VMs; Configure App Service settings","Azure Policy, VM configuration, App Service",3.4.6,Disable unused VM extensions; disable FTP/remote debugging on App Service; use Azure Policy to deny unauthorized resource types
CM.L2-3.4.7,Nonessential Feature Removal,Configuration Management,Remove or disable unnecessary programs and features,Deploy and Manage Azure Compute Resources,"Configure VMs; Configure App Service","VM customization, App Service (disable FTP)",3.4.7,Remove unused VM extensions; disable unnecessary services in guest OS; disable FTP/debug endpoints on App Service
CM.L2-3.4.8,Application Execution Policy,Configuration Management,"Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software",Deploy and Manage Azure Compute Resources,"Configure Defender for Cloud adaptive controls","Defender for Cloud (Adaptive Application Controls)",3.4.8,Enable Adaptive Application Controls in Defender for Cloud; define allow-list of approved applications; alert on unknown application execution
CM.L2-3.4.9,User-Installed Software Control,Configuration Management,"Control and monitor user-installed software",Manage Azure Identities and Governance,"Configure Intune; Configure Azure Policy","Intune, Azure Policy",3.4.9,Use Intune to restrict software installation on managed devices; use Azure Policy to deny unauthorized VM extensions
IA.L1-3.5.1,Identification,Identification and Authentication,"Identify information system users, processes, and devices",Manage Azure Identities and Governance,"Manage Microsoft Entra users and groups; Manage managed identities","Entra ID, Managed Identities",3.5.1,Ensure unique user identities; use managed identities for services; register all devices in Entra ID
IA.L1-3.5.2,Authentication,Identification and Authentication,"Authenticate the identities of users, processes, or devices as prerequisite to allowing access",Manage Azure Identities and Governance,"Manage authentication; Configure MFA","Entra MFA, Conditional Access, Key Vault",3.5.2,Enable MFA; use managed identities (no passwords); store secrets in Key Vault; monitor sign-in failures
IA.L2-3.5.3,Multifactor Authentication,Identification and Authentication,"Use MFA for local and network access to privileged accounts and for network access to non-privileged accounts",Manage Azure Identities and Governance,"Configure MFA; Configure Conditional Access","Entra MFA, Conditional Access",3.5.3,Enable Security Defaults or Conditional Access MFA policy; require phishing-resistant MFA (FIDO2/certificate) for privileged roles
IA.L2-3.5.4,Replay-Resistant Authentication,Identification and Authentication,Employ replay-resistant authentication mechanisms for network access,Manage Azure Identities and Governance,"Configure authentication methods in Entra ID","Entra ID (FIDO2, certificate-based auth)",3.5.4,Enable FIDO2 security keys or certificate-based authentication; avoid SMS OTP for privileged accounts
IA.L2-3.5.5,Identifier Reuse,Identification and Authentication,"Employ identifier management to prevent identifier reuse",Manage Azure Identities and Governance,"Manage Microsoft Entra users","Entra ID (account lifecycle)",3.5.5,Never reuse user account names; Entra ID Object IDs are permanent unique identifiers; document identifier lifecycle in policy
IA.L2-3.5.6,Identifier Handling,Identification and Authentication,"Disable identifiers after a defined inactivity period",Manage Azure Identities and Governance,"Manage Microsoft Entra users","Entra ID, Azure Policy",3.5.6,Create Azure Policy or Automation runbook to disable Entra ID accounts inactive for >90 days; review with Entra ID Access Reviews
IA.L2-3.5.7,Password Complexity,Identification and Authentication,"Enforce minimum password complexity and change requirements",Manage Azure Identities and Governance,"Configure Entra ID Password Protection","Entra ID Password Protection",3.5.7,Enable Entra ID Password Protection with custom banned passwords; enforce minimum 14+ character policy; deploy on-premises proxy for hybrid environments
IA.L2-3.5.8,Password Reuse,Identification and Authentication,Prohibit password reuse for a specified number of generations,Manage Azure Identities and Governance,"Configure Entra ID Password Protection","Entra ID Password Protection",3.5.8,Entra ID cloud accounts enforce 24 password history by default; document password history policy; apply to on-premises via Password Protection proxy
IA.L2-3.5.9,Temporary Passwords,Identification and Authentication,"Allow temporary password use for system logons with an immediate change to a permanent password",Manage Azure Identities and Governance,"Configure SSPR; Configure Temporary Access Pass","Entra ID (SSPR, Temporary Access Pass)",3.5.9,Use Entra ID Temporary Access Pass for initial credential issuance; require change on first login; configure SSPR for self-service password reset
IA.L2-3.5.10,Cryptographically Protected Passwords,Identification and Authentication,"Store and transmit only cryptographically protected passwords",Manage Azure Identities and Governance,"Manage Entra ID; Configure Azure Key Vault","Entra ID (hashed passwords), Azure Key Vault",3.5.10,Entra ID hashes all passwords (bcrypt); store app secrets in Key Vault; never store passwords in code or config files
IA.L2-3.5.11,Obscure Feedback,Identification and Authentication,Obscure feedback of authentication information during the authentication process,Manage Azure Identities and Governance,"Manage authentication and authorization","Entra ID (default behavior)",3.5.11,Entra ID sign-in pages mask password input by default; no additional configuration required for cloud-hosted applications
IR.L2-3.6.1,Incident Handling,Incident Response,"Establish an operational incident-handling capability for preparation, detection, analysis, containment, recovery, and user response",Monitor and Maintain Azure Resources,"Configure Microsoft Sentinel; Configure Defender for Cloud automation","Microsoft Sentinel, Defender for Cloud, Logic Apps",3.6.1,Deploy Sentinel for SIEM/SOAR; create Playbooks for automated containment; configure Defender for Cloud workflow automation
IR.L2-3.6.2,Incident Reporting,Incident Response,"Track, document, and report incidents to designated officials and/or authorities",Monitor and Maintain Azure Resources,"Configure Azure Monitor alerts and action groups","Azure Monitor, Sentinel (Incidents), Logic Apps",3.6.2,Configure Action Groups for security team notification; use Sentinel Incidents for tracking; integrate with ticketing system via Logic Apps; [Partial] US-CERT reporting is an organizational process
IR.L2-3.6.3,Incident Response Testing,Incident Response,Test the organizational incident response capability,Monitor and Maintain Azure Resources,"Configure Microsoft Sentinel playbooks; Test automation runbooks","Microsoft Sentinel (Playbooks), Logic Apps",3.6.3,Test Sentinel Playbooks in Logic Apps designer; run playbooks on test incidents; schedule tabletop exercises; validate alerting pipelines
MA.L2-3.7.1,Perform Maintenance,Maintenance,"Perform maintenance on organizational systems",Deploy and Manage Azure Compute Resources,"Implement Azure Update Manager","Azure Update Manager, Azure Automation",3.7.1,Schedule maintenance windows in Azure Update Manager; automate patching for critical updates; track maintenance history
MA.L2-3.7.2,Controlled Maintenance,Maintenance,"Provide controls on the tools, techniques, mechanisms, and personnel that perform maintenance",Manage Azure Identities and Governance,"Manage RBAC; Configure PIM","Azure RBAC, PIM, Azure Bastion",3.7.2,Restrict maintenance role assignments via RBAC; require PIM activation for maintenance activities; use Azure Bastion for maintenance access
MA.L2-3.7.3,Equipment Sanitization,Maintenance,Ensure equipment removed for maintenance is sanitized of CUI,Implement and Manage Storage,"Configure Azure Disk Encryption","Azure Disk Encryption, Azure Key Vault",3.7.3,Enable ADE on all VMs; when VM is decommissioned delete the encryption key from Key Vault; document in maintenance records
MA.L2-3.7.4,Media Inspection,Maintenance,"Check media containing diagnostic and test programs for malicious code before use",Monitor and Maintain Azure Resources,"Configure Defender for Cloud; Configure Defender for Storage","Defender for Storage (malware scan), Antimalware",3.7.4,Enable Defender for Storage malware scanning; scan all diagnostic tools before use; require tools from approved internal repositories only
MA.L2-3.7.5,Remote Maintenance,Maintenance,"Require MFA for maintenance sessions opened from external networks and disconnect after session",Manage Azure Identities and Governance,"Configure Conditional Access; Configure Azure Bastion","Conditional Access (MFA), Azure Bastion",3.7.5,Require MFA via Conditional Access for all external maintenance access; use Azure Bastion (sessions auto-terminate on close); log all maintenance sessions
MA.L2-3.7.6,Maintenance Personnel,Maintenance,Supervise the maintenance activities of maintenance personnel without required access authorization,Manage Azure Identities and Governance,"Manage RBAC; Configure PIM","Azure RBAC, PIM, Azure Monitor",3.7.6,Grant time-limited maintenance access via PIM; monitor activity during session with Azure Monitor; revoke access immediately after maintenance
MP.L1-3.8.3,Media Disposal,Media Protection,Sanitize or destroy media containing FCI before disposal or reuse,Implement and Manage Storage,"Configure Azure Disk Encryption; Configure Storage security","Azure Disk Encryption, Azure Storage SSE",3.8.3,[Partial] Azure manages physical media per NIST 800-88; enable ADE on VMs; use cryptographic erasure on Azure Managed Disks
MP.L2-3.8.1,Media Protection,Media Protection,Protect (physical and digital) system media containing CUI,Implement and Manage Storage,"Configure Azure Storage security; Configure Azure Disk Encryption","Azure Disk Encryption, Azure Storage SSE, Azure Backup",3.8.1,Enable ADE on all VMs; enable SSE with CMK on Storage Accounts; restrict storage account network access; protect backups with Azure Backup
MP.L2-3.8.2,Media Access,Media Protection,Limit access to CUI on digital media to authorized users,Implement and Manage Storage,"Configure Azure Storage access controls; Manage RBAC","Azure RBAC (Storage roles), SAS tokens, Entra ID",3.8.2,Assign Storage Blob Data Reader/Writer roles via Entra ID; use SAS tokens with minimal permissions and expiry; disable anonymous access
MP.L2-3.8.4,Media Marking,Media Protection,Mark media with necessary CUI markings and distribution limitations,Implement and Manage Storage,"Configure Azure Storage; Configure Microsoft Purview","Microsoft Purview (sensitivity labels), Azure Storage (metadata)",3.8.4,Apply Purview sensitivity labels to classify and mark CUI documents; propagate labels to SharePoint and OneDrive
MP.L2-3.8.5,Media Accountability,Media Protection,Control access to media containing CUI and maintain accountability for media during transport,Implement and Manage Storage,"Configure Azure Storage; Configure diagnostic settings","Azure Monitor, Azure Storage (activity logs)",3.8.5,Enable storage account logging; track all access to media storage accounts; restrict network access to storage via firewall rules
MP.L2-3.8.6,Portable Storage Encryption,Media Protection,Implement cryptographic mechanisms to protect CUI on portable storage unless protected by alternative physical safeguards,Implement and Manage Storage,"Configure Azure Disk Encryption; Configure Intune","Azure Information Protection, Intune (BitLocker enforcement)",3.8.6,Enforce BitLocker via Intune compliance policy for portable drives; use AIP to encrypt CUI files before transfer to portable media
MP.L2-3.8.7,Removable Media Restrictions,Media Protection,Control the use of removable media on system components,Manage Azure Identities and Governance,"Configure Intune device restrictions","Intune (USB restrictions)",3.8.7,Use Intune device configuration profiles to block or restrict USB/removable storage; require only approved removable media
MP.L2-3.8.8,Shared Media Use,Media Protection,Prohibit the use of portable storage without identifiable owner,Manage Azure Identities and Governance,"Configure Intune; Configure Azure Policy","Intune, Azure Policy",3.8.8,Require device enrollment before USB access; block unrecognized/unregistered devices via Intune
PE.L1-3.10.1,Limit Physical Access,Physical Protection,Limit physical access to systems and equipment to authorized individuals,Implement and Manage Virtual Networking,"Configure Azure Bastion","Azure Bastion, Entra ID",3.10.1,[Partial] Microsoft manages DC physical access; use Azure Bastion to eliminate public RDP/SSH exposure; enforce device compliance
PE.L1-3.10.3,Escort Visitors,Physical Protection,Escort visitors and monitor visitor activity,Monitor and Maintain Azure Resources,"Configure audit logging","Entra ID Audit Logs, Azure Monitor",3.10.3,[Partial] Microsoft manages DC visitor escorting; enable guest/B2B audit logs as logical equivalent
PE.L1-3.10.4,Physical Access Logs,Physical Protection,Maintain audit logs of physical access,Monitor and Maintain Azure Resources,"Configure Log Analytics workspaces","Log Analytics, Azure Monitor",3.10.4,[Partial] Microsoft maintains DC physical access logs; enable Activity Logs + Log Analytics; retain for 365+ days
PE.L1-3.10.5,Manage Physical Access Devices,Physical Protection,Control and manage physical access devices,Manage Azure Identities and Governance,"Manage Microsoft Entra device settings","Entra ID, Intune",3.10.5,[Partial] Microsoft manages DC access devices; register and manage corporate devices via Entra ID/Intune
PE.L2-3.10.2,Monitor Facility,Physical Protection,Protect and monitor the physical facility and support infrastructure,Monitor and Maintain Azure Resources,"Monitor resources using Azure Monitor","Azure Service Health, Azure Monitor",3.10.2,[Partial] Azure monitors DC infrastructure; monitor Azure service health for infrastructure incidents via Service Health alerts
PE.L2-3.10.6,Alternate Work Site,Physical Protection,Enforce safeguards at alternate work sites,Manage Azure Identities and Governance,"Configure Conditional Access; Configure Intune","Conditional Access, Intune",3.10.6,Enforce device compliance and MFA for remote workers via Conditional Access and Intune; require VPN for access from alternate work sites
PS.L2-3.9.1,Screen Individuals,Personnel Security,Screen individuals prior to authorizing access,Manage Azure Identities and Governance,"Manage Microsoft Entra users","Entra ID (account provisioning)",3.9.1,[Partial] HR/organizational process; provision Entra ID accounts only after background check clearance; use Entra ID Entitlement Management for access approval workflow
PS.L2-3.9.2,Terminate and Transfer Actions,Personnel Security,Ensure CUI is protected during and after personnel actions such as terminations and transfers,Manage Azure Identities and Governance,"Manage Microsoft Entra users; Manage RBAC","Entra ID (account lifecycle), Azure RBAC",3.9.2,Immediately disable/delete Entra ID accounts on termination; revoke all role assignments; transfer or delete OneDrive content; revoke PIM assignments; use Entra ID Access Reviews to detect stale access
RA.L2-3.11.1,Risk Assessments,Risk Assessment,"Periodically assess the risk to organizational operations, assets, and individuals",Monitor and Maintain Azure Resources,"Monitor security posture with Defender for Cloud","Defender for Cloud (Secure Score), Azure Policy",3.11.1,Use Defender for Cloud Secure Score as risk indicator; assess against MCSB baseline; conduct periodic manual risk assessments
RA.L2-3.11.2,Vulnerability Scan,Risk Assessment,Scan for vulnerabilities in organizational systems and applications periodically,Monitor and Maintain Azure Resources,"Configure Defender for Cloud vulnerability assessments","Defender for Servers, Defender for Containers, MDVM",3.11.2,Enable Defender for Servers (includes MDVM vulnerability scanning); enable Defender for Containers for image scanning; review findings in Defender for Cloud recommendations
RA.L2-3.11.3,Vulnerability Remediation,Risk Assessment,Remediate vulnerabilities in accordance with risk assessments,Monitor and Maintain Azure Resources,"Configure Azure Update Manager; Monitor Defender for Cloud","Azure Update Manager, Defender for Cloud",3.11.3,Deploy patches prioritized by CVSS score; create maintenance schedules for critical patching; track remediation via Defender for Cloud recommendation status
SC.L1-3.13.1,Boundary Protection,System and Communications Protection,"Monitor, control, and protect communications at external and key internal boundaries",Implement and Manage Virtual Networking,"Configure NSGs; Configure Azure Firewall","Azure Firewall, NSG, DDoS Protection",3.13.1,Create segmented VNets; apply NSGs with deny-all defaults; deploy Azure Firewall; enable DDoS Protection Standard
SC.L1-3.13.5,Public-Access System Separation,System and Communications Protection,Implement subnetworks for publicly accessible components separated from internal networks,Implement and Manage Virtual Networking,"Configure virtual networks; Configure Private Endpoints","Azure VNet, Application Gateway, Private Endpoints",3.13.5,Create DMZ subnet for internet-facing resources; disable public IPs on backend; use Private Endpoints; route web traffic through App Gateway WAF
SC.L2-3.13.2,Security Engineering Principles,System and Communications Protection,Employ security engineering principles in the specification, design, development, and modification of organizational systems,Deploy and Manage Azure Compute / Virtual Networking,"Configure secure architectures with Defender for Cloud","Defender for Cloud, Azure Well-Architected Framework",3.13.2,Follow Azure Well-Architected Framework security pillar; use Defender for Cloud to validate security architecture; apply security design principles (defense in depth)
SC.L2-3.13.3,Role Separation,System and Communications Protection,Separate user functionality from system management functionality,Manage Azure Identities and Governance,"Manage RBAC; Configure PIM","Azure RBAC, PIM",3.13.3,Use separate accounts for admin vs. user functions; require PIM for admin role activation; assign separate subscriptions for production vs. management workloads
